,Long,Short
2021-02-01,"66,54","39,20"
2021-02-02,"66,54","39,20"
2021-02-03,"69,42","38,20"
2021-02-04,"69,42","37,40"
2021-02-05,"70,43","37,20"
2021-02-08,"71,19","37,20"
2021-02-09,"70,32","37,40"
2021-02-10,"69,08","38,39"
2021-02-11,"70,34","37,40"
2021-02-12,"70,32","37,20"
2021-02-15,"70,82","36,19"
2021-02-16,"70,82","36,80"
2021-02-17,"68,69","37,80"
2021-02-18,"68,54","37,80"
2021-02-19,"69,24","37,60"
2021-02-22,"68,32","37,60"
2021-02-23,"68,04","37,81"
2021-02-24,"69,80","37,20"
2021-02-25,"67,96","38,20"
2021-02-26,"68,70","38,20"
2021-03-01,"70,55","37,60"
2021-03-02,"70,87","36,80"
2021-03-03,"70,80","37,00"
2021-03-04,"70,35","38,20"
2021-03-05,"70,46","37,40"
2021-03-08,"73,05","33,80"
2021-03-09,"74,57","32,60"
2021-03-10,"74,57","31,99"
2021-03-11,"74,57","31,60"
2021-03-12,"75,12","32,20"
2021-03-15,"75,28","32,40"
2021-03-16,"75,28","31,60"
2021-03-17,"76,02","30,60"
2021-03-18,"77,45","30,00"
2021-03-19,"76,78","30,84"
2021-03-22,"76,37","30,40"
2021-03-23,"76,16","30,80"
2021-03-24,"76,26","31,40"
2021-03-25,"75,49","30,80"
2021-03-26,"77,92","29,80"
2021-03-29,"77,92","28,40"
2021-03-30,"81,21","27,46"
2021-03-31,"81,05","26,80"
2021-04-01,"82,09","26,00"
2021-04-06,"83,93","25,00"
2021-04-07,"83,11","25,40"
2021-04-08,"83,11","24,85"
2021-04-09,"82,58","24,40"
2021-04-12,"82,93","24,61"
2021-04-13,"82,87","24,40"
2021-04-14,"82,68","24,60"
2021-04-15,"82,68","24,00"
2021-04-16,"82,96","22,03"
2021-04-19,"83,81","22,80"
2021-04-20,"81,81","25,00"
2021-04-21,"81,99","24,40"
2021-04-22,"81,99","24,21"
2021-04-23,"81,99","23,80"
2021-04-26,"81,99","23,60"
2021-04-27,"82,52","23,80"
2021-04-28,"82,52","23,40"
2021-04-29,"81,14","25,00"
2021-04-30,"81,14","25,40"
2021-05-03,"82,31","24,00"
2021-05-04,"79,19","27,80"
2021-05-05,"81,91","24,80"
2021-05-06,"82,31","24,40"
2021-05-07,"83,81","22,40"
2021-05-10,"83,59","22,40"
2021-05-11,"80,71","25,00"
2021-05-12,"80,71","25,21"
2021-05-14,"83,55","22,00"
2021-05-17,"83,55","22,20"
2021-05-18,"83,70","20,91"
2021-05-19,"81,83","24,80"
2021-05-20,"83,63","22,74"
2021-05-21,"83,63","22,74"
2021-05-24,"83,63","21,00"
2021-05-25,"84,65","21,00"
2021-05-26,"84,42","21,61"
2021-05-27,"83,95","21,61"
2021-05-28,"83,95","21,00"
2021-05-31,"84,06","21,16"
2021-06-01,"84,75","18,98"
2021-06-02,"85,62","18,98"
2021-06-03,"85,62","18,98"
2021-06-04,"86,18","19,00"
2021-06-07,"86,26","19,00"
2021-06-08,"86,58","19,00"
2021-06-09,"84,97","19,00"
2021-06-10,"84,83","19,50"
2021-06-11,"84,83","19,00"
2021-06-14,"86,27","18,00"
2021-06-15,"86,76","18,00"
2021-06-16,"86,90","18,00"
2021-06-17,"87,08","18,00"
2021-06-18,"85,20","19,57"
2021-06-21,"86,25","19,50"
2021-06-22,"86,25","19,49"
2021-06-23,"84,55","19,49"
2021-06-24,"84,61","19,49"
2021-06-28,"85,22","19,00"
2021-06-29,"87,11","18,00"
2021-06-30,"85,13","19,96"
2021-07-01,"85,72","19,00"
2021-07-02,"85,72","18,96"
2021-07-05,"86,23","18,96"
2021-07-06,"84,93","18,96"
2021-07-07,"84,93","19,00"
2021-07-08,"84,39","21,00"
2021-07-09,"86,91","19,00"
2021-07-12,"86,91","18,00"
2021-07-13,"86,91","18,00"
2021-07-14,"88,00","18,00"
2021-07-15,"86,45","18,00"
2021-07-16,"85,66","18,00"
2021-07-19,"81,79","25,00"
2021-07-20,"82,64","23,00"
2021-07-21,"84,82","21,00"
2021-07-22,"84,82","20,00"
2021-07-23,"84,82","18,50"
2021-07-26,"84,82","19,00"
2021-07-27,"84,92","20,17"
2021-07-28,"84,92","19,50"
2021-07-29,"84,92","18,99"
2021-07-30,"85,55","19,50"
2021-08-02,"85,79","19,69"
2021-08-03,"85,34","19,50"
2021-08-04,"85,34","18,00"
2021-08-05,"86,83","18,00"
2021-08-06,"86,83","17,00"
2021-08-09,"86,83","17,00"
2021-08-10,"86,83","17,00"
2021-08-11,"86,83","17,00"
2021-08-12,"86,83","15,38"
2021-08-13,"86,83","14,99"
2021-08-16,"86,83","14,99"
2021-08-17,"86,83","14,99"
2021-08-18,"86,83","14,99"
2021-08-19,"86,83","17,50"
2021-08-20,"86,83","17,50"
2021-08-23,"86,83","17,50"
2021-08-24,"86,83","15,62"
2021-08-25,"86,83","16,01"
2021-08-26,"86,83","16,72"
2021-08-27,"86,83","16,00"
2021-08-30,"86,83","16,00"
2021-08-31,"86,83","16,49"
2021-09-01,"86,83","16,50"
2021-09-02,"86,83","16,41"
2021-09-03,"86,83","16,96"
2021-09-06,"86,83","15,22"
2021-09-07,"86,83","16,04"
2021-09-08,"85,94","18,33"
2021-09-09,"86,32","18,50"
2021-09-10,"86,32","18,44"
2021-09-13,"86,45","17,46"
2021-09-14,"86,45","17,44"
2021-09-15,"86,42","17,46"
2021-09-16,"86,42","17,52"
2021-09-17,"86,42","18,80"
2021-09-20,"80,45","24,00"
2021-09-21,"82,82","20,88"
2021-09-22,"83,58","19,14"
2021-09-23,"83,58","17,71"
2021-09-24,"83,58","19,00"
2021-09-27,"83,58","18,13"
2021-09-28,"82,15","18,92"
2021-09-29,"83,31","20,87"
2021-09-30,"81,67","20,93"
2021-10-01,"80,60","22,60"
2021-10-04,"80,63","22,60"
2021-10-05,"80,90","22,60"
2021-10-06,"79,33","22,60"
2021-10-07,"79,33","21,58"
2021-10-08,"79,33","21,52"
2021-10-11,"79,33","21,52"
2021-10-12,"79,33","21,52"
2021-10-13,"80,40","21,52"
2021-10-14,"81,72","18,94"
2021-10-15,"81,72","18,92"
2021-10-18,"81,72","18,92"
2021-10-19,"81,72","18,92"
2021-10-20,"83,15","18,92"
2021-10-21,"82,69","18,92"
2021-10-22,"82,69","18,92"
2021-10-25,"83,68","18,92"
2021-10-26,"83,68","18,92"
2021-10-27,"84,67","18,92"
2021-10-28,"84,47","18,92"
2021-10-29,"83,33","16,21"
